Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
>= 0 < 200 $,9,pgto em dia neste banco (quitado),carro novo,1437,>= 100 < 500 $,< 7 anos,2,masc-solteiro,n/há,3,n/há,29,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,42,conta critica / dividas com terceiros,moveis e equipamentos,4042,>= 500 < 1000 $,< 4 anos,4,masc-solteiro,n/há,4,imovel,36,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,9,pgto em dia neste banco (em aberto),educacao,3832,n/há,>= 7 anos,1,masc-solteiro,n/há,4,imovel,64,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),radio ou televisao,3660,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (quitado),moveis e equipamentos,1553,< 100 $,< 4 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,44,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,15,pgto em dia neste banco (em aberto),radio ou televisao,1444,n/há,< 1 ano,4,masc-solteiro,n/há,1,poupança ou seguro de vida,23,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,9,pgto em dia neste banco (em aberto),moveis e equipamentos,1980,< 100 $,< 1 ano,2,femi-divorciadaoucasada,codevedor,2,carro ou outros-quitado,19,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro novo,1355,< 100 $,< 1 ano,3,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,25,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,2
n/há,12,pgto em dia neste banco (em aberto),educacao,1393,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,47,banco,própria,3,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,1376,>= 500 < 1000 $,< 7 anos,4,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,60,pgto em atraso no passado,radio ou televisao,15653,< 100 $,< 7 anos,2,masc-solteiro,n/há,4,carro ou outros-quitado,21,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,1493,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,34,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,42,pgto em atraso no passado,radio ou televisao,4370,< 100 $,< 7 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,26,banco,própria,2,empregado-formadoouservidorpublico,2,sim,sim,2
< 0 $,18,pgto em dia neste banco (em aberto),educacao,750,< 100 $,desempregado,4,femi-divorciadaoucasada,n/há,1,imovel,27,n/há,própria,1,desempregado-semformacao-naoresidente,1,não,sim,2
>= 0 < 200 $,15,pgto em dia neste banco (em aberto),reparos,1308,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,38,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,15,pgto em dia neste banco (em aberto),educacao,4623,>= 100 < 500 $,< 4 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,40,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,24,conta critica / dividas com terceiros,radio ou televisao,1851,< 100 $,< 7 anos,4,masc-casadoouviuvo,garantidor,2,carro ou outros-quitado,33,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,18,conta critica / dividas com terceiros,radio ou televisao,1880,< 100 $,< 7 anos,4,masc-casadoouviuvo,n/há,1,poupança ou seguro de vida,32,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,36,pgto em atraso no passado,negocios,7980,n/há,< 1 ano,4,masc-solteiro,n/há,4,carro ou outros-quitado,27,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,30,nenhum/pgto em dia,moveis e equipamentos,4583,< 100 $,< 4 anos,2,masc-divorciado,garantidor,2,imovel,32,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,pgto em dia neste banco (em aberto),carro novo,1386,>= 500 < 1000 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 200 $,24,pgto em dia neste banco (em aberto),carro novo,947,< 100 $,< 7 anos,4,masc-solteiro,n/há,3,n/há,38,banco,gratuita,1,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),educacao,684,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,40,n/há,aluguel,1,empregado-semformacao-residente,2,não,sim,2
< 0 $,48,pgto em dia neste banco (em aberto),educacao,7476,< 100 $,< 7 anos,4,masc-solteiro,n/há,1,n/há,50,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1922,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,37,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,2303,< 100 $,>= 7 anos,4,masc-solteiro,codevedor,1,imovel,45,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,36,pgto em atraso no passado,carro novo,8086,>= 100 < 500 $,>= 7 anos,2,masc-solteiro,n/há,4,carro ou outros-quitado,42,n/há,própria,4,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,24,conta critica / dividas com terceiros,carro usado,2346,< 100 $,< 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,35,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,14,pgto em dia neste banco (em aberto),carro novo,3973,< 100 $,desempregado,1,masc-solteiro,n/há,4,n/há,22,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,888,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,41,banco,própria,1,empregado-semformacao-residente,2,não,sim,2
n/há,48,pgto em dia neste banco (em aberto),radio ou televisao,10222,n/há,< 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,37,loja,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,30,nenhum/pgto em dia,negocios,4221,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,28,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,moveis e equipamentos,6361,< 100 $,>= 7 anos,2,masc-solteiro,n/há,1,n/há,41,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1297,< 100 $,< 4 anos,3,masc-casadoouviuvo,n/há,4,imovel,23,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,900,n/há,< 4 anos,4,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,23,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,21,pgto em dia neste banco (em aberto),moveis e equipamentos,2241,< 100 $,>= 7 anos,4,masc-solteiro,n/há,2,imovel,50,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,6,pgto em atraso no passado,moveis e equipamentos,1050,< 100 $,desempregado,4,masc-solteiro,n/há,1,poupança ou seguro de vida,35,loja,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 200 $,6,conta critica / dividas com terceiros,educacao,1047,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,50,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,outros,6314,< 100 $,desempregado,4,masc-solteiro,codevedor,2,n/há,27,banco,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,30,pgto em dia neste banco (quitado),moveis e equipamentos,3496,>= 1000 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,34,loja,própria,1,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,48,pgto em dia neste banco (quitado),negocios,3609,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,1,imovel,27,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,conta critica / dividas com terceiros,carro novo,4843,< 100 $,>= 7 anos,3,masc-solteiro,codevedor,4,poupança ou seguro de vida,43,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,2
>= 200 $,30,conta critica / dividas com terceiros,radio ou televisao,3017,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,47,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,negocios,4139,>= 100 < 500 $,< 4 anos,3,masc-solteiro,n/há,3,poupança ou seguro de vida,27,n/há,própria,2,empregado-semformacao-residente,1,sim,sim,1
n/há,36,pgto em dia neste banco (em aberto),negocios,5742,>= 100 < 500 $,< 7 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,31,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,60,pgto em dia neste banco (em aberto),carro novo,10366,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,42,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,6,conta critica / dividas com terceiros,carro novo,2080,>= 500 < 1000 $,< 4 anos,1,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,21,pgto em atraso no passado,negocios,2580,>= 500 < 1000 $,< 1 ano,4,masc-solteiro,n/há,2,imovel,41,banco,própria,1,empregado-semformacao-residente,2,não,sim,2
n/há,30,conta critica / dividas com terceiros,radio ou televisao,4530,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,26,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,24,conta critica / dividas com terceiros,moveis e equipamentos,5150,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,33,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,72,pgto em dia neste banco (em aberto),radio ou televisao,5595,>= 100 < 500 $,< 4 anos,2,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),radio ou televisao,2384,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,64,banco,aluguel,1,empregado-semformacao-residente,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),radio ou televisao,1453,< 100 $,< 1 ano,3,femi-divorciadaoucasada,n/há,1,imovel,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,pgto em dia neste banco (em aberto),educacao,1538,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,2,n/há,56,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,2279,n/há,< 4 anos,4,masc-solteiro,n/há,4,n/há,37,n/há,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,15,pgto em atraso no passado,radio ou televisao,1478,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,3,imovel,33,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,radio ou televisao,5103,< 100 $,< 1 ano,3,masc-casadoouviuvo,n/há,3,n/há,47,n/há,gratuita,3,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,36,pgto em atraso no passado,negocios,9857,>= 100 < 500 $,< 7 anos,1,masc-solteiro,n/há,3,poupança ou seguro de vida,31,n/há,própria,2,empregado-semformacao-residente,2,sim,sim,1
n/há,60,pgto em dia neste banco (em aberto),carro novo,6527,n/há,< 4 anos,4,masc-solteiro,n/há,4,n/há,34,n/há,gratuita,1,empregado-formadoouservidorpublico,2,sim,sim,1
>= 200 $,10,conta critica / dividas com terceiros,radio ou televisao,1347,n/há,< 7 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,27,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,36,pgto em atraso no passado,carro novo,2862,>= 100 < 500 $,>= 7 anos,4,masc-solteiro,n/há,3,n/há,30,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,9,pgto em dia neste banco (em aberto),radio ou televisao,2753,>= 100 < 500 $,>= 7 anos,3,masc-solteiro,codevedor,4,carro ou outros-quitado,35,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,3651,>= 1000 $,< 4 anos,1,masc-solteiro,n/há,3,poupança ou seguro de vida,31,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,15,conta critica / dividas com terceiros,moveis e equipamentos,975,< 100 $,< 4 anos,2,masc-divorciado,n/há,3,poupança ou seguro de vida,25,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,15,pgto em dia neste banco (em aberto),reparos,2631,>= 100 < 500 $,< 4 anos,3,femi-divorciadaoucasada,n/há,2,imovel,25,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,2896,>= 100 < 500 $,< 1 ano,2,masc-solteiro,n/há,1,carro ou outros-quitado,29,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,6,conta critica / dividas com terceiros,carro novo,4716,n/há,< 1 ano,1,masc-solteiro,n/há,3,imovel,44,n/há,própria,2,empregado-semformacao-residente,2,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,2284,< 100 $,< 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,6,pgto em dia neste banco (em aberto),carro usado,1236,>= 500 < 1000 $,< 4 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,50,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1103,< 100 $,< 7 anos,4,masc-solteiro,garantidor,3,imovel,29,n/há,própria,2,empregado-formadoouservidorpublico,1,não,não,1
n/há,12,conta critica / dividas com terceiros,carro novo,926,< 100 $,desempregado,1,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,38,n/há,própria,1,desempregado-semformacao-naoresidente,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,1800,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,24,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,15,pgto em dia neste banco (em aberto),educacao,1905,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,40,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1123,>= 500 < 1000 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,29,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,2
< 0 $,48,conta critica / dividas com terceiros,carro usado,6331,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,46,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,2
>= 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,1377,>= 100 < 500 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,2,n/há,47,n/há,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,30,pgto em atraso no passado,negocios,2503,>= 100 < 500 $,>= 7 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,41,loja,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,27,pgto em dia neste banco (em aberto),negocios,2528,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,32,n/há,própria,1,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,15,pgto em dia neste banco (em aberto),carro novo,5324,>= 500 < 1000 $,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,n/há,35,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),carro novo,6560,>= 100 < 500 $,< 7 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,12,nenhum/pgto em dia,moveis e equipamentos,2969,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,25,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),radio ou televisao,1206,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,imovel,25,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),radio ou televisao,2118,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,37,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,629,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,32,banco,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,6,pgto em dia neste banco (quitado),educacao,1198,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,n/há,35,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,21,pgto em dia neste banco (em aberto),carro usado,2476,n/há,>= 7 anos,4,masc-solteiro,n/há,4,imovel,46,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,9,conta critica / dividas com terceiros,radio ou televisao,1138,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,imovel,25,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,60,pgto em dia neste banco (em aberto),carro novo,14027,< 100 $,< 7 anos,4,masc-solteiro,n/há,2,n/há,27,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,30,conta critica / dividas com terceiros,carro usado,7596,n/há,>= 7 anos,1,masc-solteiro,n/há,4,carro ou outros-quitado,63,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,30,conta critica / dividas com terceiros,radio ou televisao,3077,n/há,>= 7 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,40,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,18,pgto em dia neste banco (em aberto),radio ou televisao,1505,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,n/há,32,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 200 $,24,conta critica / dividas com terceiros,radio ou televisao,3148,n/há,< 4 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,31,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,20,nenhum/pgto em dia,carro usado,6148,>= 100 < 500 $,>= 7 anos,3,masc-casadoouviuvo,n/há,4,carro ou outros-quitado,31,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,9,nenhum/pgto em dia,radio ou televisao,1337,< 100 $,< 1 ano,4,masc-solteiro,n/há,2,carro ou outros-quitado,34,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 0 < 200 $,6,pgto em dia neste banco (quitado),educacao,433,>= 1000 $,< 1 ano,4,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,24,banco,aluguel,1,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,1228,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,imovel,24,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),radio ou televisao,790,>= 500 < 1000 $,< 4 anos,4,femi-divorciadaoucasada,n/há,3,imovel,66,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,27,pgto em dia neste banco (em aberto),carro novo,2570,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,3,imovel,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,6,conta critica / dividas com terceiros,carro novo,250,>= 1000 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,imovel,41,banco,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,15,conta critica / dividas com terceiros,radio ou televisao,1316,>= 500 < 1000 $,< 4 anos,2,masc-casadoouviuvo,n/há,2,poupança ou seguro de vida,47,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),radio ou televisao,1882,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,25,banco,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,48,pgto em dia neste banco (quitado),negocios,6416,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,3,n/há,59,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
